Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominica,DMA,"Population, total",SP.POP.TOTL,59379,60395,61224,62031,62843,63744,64728,65760,66865,68007,68895,69430,69870,70334,70822,71300,71748,72142,72478,72768,72978,72932,72626,72269,71936,71596,71215,70808,70397,69975,69481,69141,69112,69169,69198,69201,69166,69081,68938,68698,68346,68153,68262,68442,68574,68674,68742,68775,68782,68787,68755,68742,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737
Denmark,DNK,"Population, total",SP.POP.TOTL,4579603,4611687,4647727,4684483,4722072,4759012,4797381,4835354,4864883,4891860,4928757,4963126,4991596,5021861,5045297,5059862,5072596,5088419,5104248,5116801,5123027,5121572,5117810,5114297,5111619,5113691,5120534,5127024,5129516,5132594,5140939,5154298,5171370,5188628,5206180,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,3298021,3408415,3521164,3635798,3752313,3868712,3987090,4108916,4230877,4352954,4475871,4599841,4724801,4851183,4978582,5106453,5235318,5365074,5495443,5625864,5755800,5885244,6014979,6147213,6282104,6417798,6554325,6692720,6834207,6980033,7129004,7278402,7427340,7576074,7723934,7869753,8012314,8150076,8282126,8411374,8540791,8669040,8795101,8919852,9043127,9164768,9284168,9402206,9522948,9648061,9775755,9903737,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821
Algeria,DZA,"Population, total",SP.POP.TOTL,11394307,11598608,11778260,11969451,12179099,12381256,12613389,12897115,13190975,13491016,13795915,14110271,14439748,14786469,15153602,15724692,16500516,17134192,17632645,18166981,18739378,19351357,20000096,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,896462247,895992255,907858935,931114057,953987755,977493628,1004333893,1030453856,1057594845,1086458654,1116182140,1146525253,1175156192,1202812613,1228909243,1252485369,1274263611,1294858852,1315761974,1336893795,1357581175,1378941521,1402554740,1426256004,1448880261,1472149294,1496890002,1523099223,1549652503,1575650445,1601237332,1625903768,1649253074,1671947065,1694420555,1716327374,1737860521,1759221230,1779787562,1799013672,1817006555,1834101877,1850472928,1866240858,1881561559,1896788261,1911721676,1926306467,1940768141,1955042105,1969186913,1984267781,2001264155,2018068461,2034264880,2049757846,2065173002,2080919319,2094524854,2106391925,2116378687,2123628421,2129112126
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,1043333636,1045203037,1059600211,1085398906,1110819272,1136927045,1166227679,1194567141,1224255729,1255933616,1288490485,1322732627,1354211283,1384704173,1413718269,1439944265,1464087148,1486953865,1510060320,1533514709,1556403010,1580048609,1605925794,1631735726,1656258164,1681267266,1707611028,1735427884,1763555005,1791156275,1818247576,1844603995,1869453624,1893594516,1917553356,1940892820,1964042971,1986768093,2008680261,2028993034,2048148696,2066530023,2083969920,2100610344,2116651449,2132517760,2148405823,2164155292,2179914111,2195169711,2210203758,2225992094,2243776727,2261274500,2278232287,2294507020,2310721864,2327132966,2341383691,2353856866,2363934334,2370189840,2375162207
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,255726092,259951519,264183560,268409373,272634858,276765568,280229181,283724914,287193204,290573749,293778738,296973298,300232316,303473218,306715687,309908273,313279489,316709884,320113560,323503833,326937470,330361478,333758267,337282816,341087935,344882487,348685710,352545820,356321047,359435266,361859039,364392348,366266798,367513928,368354275,368905312,369661127,370276347,370591102,370546751,370646199,370739184,370807684,371072025,371533136,372077135,372780224,373485209,375012208,376867673,379079046,381328678,383374474,385623200,387912182,390267733,392579664,394705361,396674671,398690076,400061023,401682855,397824705
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,666273660,673957844,681809362,689682704,697559598,705233118,712077088,718884137,725451120,731787358,737398504,742959749,749086046,755000965,760680926,766169722,771592697,776918691,782220413,787502492,792890531,798088129,802876253,807523838,812373901,817313920,822429830,827666924,832965846,837807042,842030509,846364518,849816712,852735458,854892657,856511549,858209225,859711482,860876126,861848594,862786211,863909133,865474170,867701442,870270838,872913705,875627934,878456268,882088404,885659803,889169629,891329416,894660467,898607432,902670860,906695444,910633273,914078289,917380453,920277481,922353365,923564027,920375568
Ecuador,ECU,"Population, total",SP.POP.TOTL,4618158,4751507,4890425,5034334,5183283,5337351,5495761,5658446,5825663,5997037,6172215,6350944,6533630,6720443,6911123,7105786,7304349,7506665,7712718,7922490,8135845,8352602,8572607,8795873,9022979,9254311,9490096,9729376,9969788,10210185,10449837,10686279,10914222,11132829,11347652,11561683,11775221,11987838,12199693,12412046,12626507,12845521,13070609,13301184,13534593,13770012,14009061,14251835,14496797,14742766,14989585,15237728,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,27034499,27747867,28485022,29245936,30026648,30818469,31613132,32408414,33204629,33995955,34781986,35555969,36330768,37120776,37930374,38775584,39649050,40577356,41576636,42632458,43748556,44899573,46088647,47353665,48676443,50035843,51424313,52841319,54298446,55765843,57214630,58611032,59989142,61382200,62775847,64166908,65565195,66993728,68446011,69907887,71371371,72854261,74393759,75963322,77522427,79075310,80629670,82218755,83844783,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103
Euro area,EMU,"Population, total",SP.POP.TOTL,265244987,267560575,269908375,272291865,274700502,277152064,279493076,281569488,283541878,285520189,287132409,288760854,290738967,292589758,294228495,295703101,296989401,298187020,299437892,300714553,302069207,303281880,304153938,304769779,305259133,305820205,306560814,307385781,308391957,309690207,311093477,312722340,314170604,315455737,316374506,317190243,318013083,318773136,319446441,320272154,321324622,322562386,324141533,325904835,327702192,329398861,330939600,332660837,334290264,335377620,336171621,335442349,336183135,337328817,338486932,339514675,340509447,341246081,342065158,342452734,342913447,343063979,344475911
Eritrea,ERI,"Population, total",SP.POP.TOTL,993568,1016932,1041552,1067295,1094042,1121739,1150264,1179554,1209602,1240562,1272748,1306234,1340838,1376516,1413220,1450867,1489656,1529802,1571193,1613829,1657982,1703789,1751045,1799814,1849594,1899243,1949611,2000355,2051546,2102131,2149960,2039220,1921153,1981419,2042500,2157220,2264073,2291561,2322753,2356477,2392880,2461927,2547424,2653390,2763140,2831732,2880093,2926168,3005779,3083888,3147727,3207570,3252596,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032
Spain,ESP,"Population, total",SP.POP.TOTL,30455000,30739250,31023366,31296651,31609195,31954292,32283194,32682947,33113134,33441054,33814531,34224490,34604469,34988947,35373335,35757900,36137812,36511638,36864898,37191330,37491165,37758631,37986012,38171525,38330364,38469512,38584624,38684815,38766939,38827764,38867322,38966376,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340
Estonia,EST,"Population, total",SP.POP.TOTL,1211537,1225077,1241623,1258857,1277086,1294566,1308597,1318946,1331214,1345249,1360076,1376955,1392518,1405951,1418169,1429352,1439576,1450211,1460188,1468333,1477219,1487666,1498414,1508745,1518617,1528781,1540190,1552221,1561900,1568131,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840
Ethiopia,ETH,"Population, total",SP.POP.TOTL,21739710,22281675,22852158,23448979,24073696,24727506,25377645,26051596,26778653,27530388,28308246,29099594,29891328,30694316,31488613,32252783,33062216,33695018,34259065,34758823,34945469,35818844,37213393,38235187,39202890,40285965,41455309,42851957,44511537,46195954,47878073,49937430,52011554,53791672,55620211,57476536,59347649,61233480,63136493,65077579,67031867,69018932,71073215,73168838,75301026,77469940,79691050,81996185,84357105,86755585,89237791,91817929,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924
European Union,EUU,"Population, total",SP.POP.TOTL,356947129,359937892,362998792,366152978,369387359,372533839,375563155,378512582,381280912,383958527,386116472,388229403,390859355,393386261,395778659,398096151,400211366,402170665,404056840,405879948,407760829,409490677,410875285,411956706,412891310,413866961,414996545,416199247,417528527,418925771,420308868,421744728,422972438,424347768,425406851,426212138,426906931,427549432,428122323,428828749,429342455,429910140,430898141,432434810,434059923,435600393,437014860,438484072,439892213,440934530,441552554,440769682,441419873,442496175,443601373,444570054,445515422,446215182,447001100,447367191,447692315,447178112,447370510
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,245011384,250272662,255747541,261378272,267180143,273124351,279159120,285348867,291730814,298251790,304912795,311811738,318912229,326245504,333958141,341954459,350470843,359057264,367505626,376328233,384851768,392898821,401556230,410791308,420442959,430359853,440195317,450167244,460110602,470589503,483047361,493847579,506292313,519880341,534413493,548545703,560925893,573118372,585815261,599148682,612628069,626414685,641818620,658026690,674005044,690401342,707149927,723853346,741306396,759795159,778717407,797785010,817412582,837410155,857018106,876436311,896272698,916427867,936721531,957785553,979763631,1001844479,1019139254
Finland,FIN,"Population, total",SP.POP.TOTL,4429634,4461005,4491443,4523309,4548543,4563732,4580869,4605744,4626469,4623785,4606307,4612124,4639657,4666081,4690574,4711440,4725664,4738902,4752528,4764690,4779535,4799964,4826933,4855787,4881803,4902206,4918154,4932123,4946481,4964371,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106
Fiji,FJI,"Population, total",SP.POP.TOTL,401841,414534,427695,441385,455214,469010,482358,494632,505979,516952,527634,538000,547918,557244,566296,575804,586607,599289,613611,628859,644582,660630,676967,693593,710561,727461,742658,754778,764370,772704,780430,784832,786859,789198,790803,792246,796538,804572,813947,823422,832509,841320,849891,858306,866694,874923,883083,890648,896731,901383,905169,908355,911059,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766
France,FRA,"Population, total",SP.POP.TOTL,46649927,47161641,47679792,48189939,48733997,49282756,49817041,50334012,50817020,51272683,51724116,52185222,52637888,53053660,53415250,53715733,53966558,54221988,54486195,54753575,55052582,55371044,55694106,55992656,56275701,56569195,56865193,57168409,57472651,57766282,58044701,58557577,58849943,59106166,59327585,59543659,59756533,59969944,60192790,60504420,60921384,61367388,61816234,62256970,62716306,63188395,63628261,64021737,64379696,64710879,65030575,65345233,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,34154,34572,34963,35385,35841,36346,36825,37234,37630,38011,38416,38861,39304,39746,40189,40626,41054,41481,41965,42506,43054,43613,44164,44669,45135,45575,46011,46477,46959,47490,47479,46810,46005,45096,44131,43805,44138,44495,44865,45203,45660,46245,46813,47392,47989,48291,48313,48361,48411,48429,48410,48386,48392,48418,48465,48816,49500,50230,50955,51681,52415,52889,53090
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,42986,44563,46200,47758,49231,50759,52346,53940,55553,57236,58989,60673,62265,63889,65552,67121,68602,70144,71983,74114,76299,78531,80816,83153,85543,87966,90397,92845,94987,96796,98603,100427,102893,106030,108844,110328,110785,111133,111406,111539,111709,111948,111992,111805,111438,110940,110301,109532,108704,107868,107588,107887,108232,108609,109024,109462,109925,110430,110929,111379,112106,113131,114164
Gabon,GAB,"Population, total",SP.POP.TOTL,513340,519329,525754,532592,539830,547535,555748,564436,573611,584628,597192,609693,622289,635288,648922,663340,678660,694931,712135,730188,749078,768904,789585,811098,833417,856482,880340,905016,930464,956509,983028,1009995,1037446,1065390,1093611,1121964,1150601,1179806,1209832,1240764,1272935,1306590,1341696,1378398,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992
United Kingdom,GBR,"Population, total",SP.POP.TOTL,52400000,52800000,53250000,53650000,54000000,54348050,54648500,54943600,55211700,55441750,55663250,55896223,56086065,56194527,56229974,56225800,56211968,56193492,56196504,56246951,56314216,56333829,56313641,56332848,56422072,56550268,56681396,56802050,56928327,57076711,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,66971395
Georgia,GEO,"Population, total",SP.POP.TOTL,3645600,3703600,3760300,3816100,3870300,3921600,3966700,4005800,4042300,4080300,4119900,4163000,4205300,4242500,4279500,4311200,4342400,4372100,4397700,4430200,4467700,4504500,4542800,4582900,4622200,4662900,4704500,4743500,4790700,4803300,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502
Ghana,GHA,"Population, total",SP.POP.TOTL,6911510,7109029,7281192,7458243,7640196,7827726,8019658,8216086,8418152,8629855,8861895,9108878,9365952,9637197,9918979,10209848,10509006,10825496,11163230,11515675,11865246,12212960,12584976,12984131,13342487,13651443,13971682,14310790,14671677,15052447,15446982,15843471,16241548,16643633,17040854,17438874,17844010,18268040,18714708,19176791,19665502,20195577,20758326,21329514,21906444,22496951,23098586,23708320,24326087,24950762,25574719,26205941,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870
Gibraltar,GIB,"Population, total",SP.POP.TOTL,21822,21907,22249,22796,23347,23910,24477,25047,25610,26162,26685,27069,27323,27558,27779,27973,28162,28337,28485,28618,28734,28819,28863,28855,28788,28674,28506,28272,28000,27688,27317,26988,26945,27118,27282,27412,27491,27564,27636,27695,27741,27721,27892,28301,28716,29155,29587,29996,30398,30819,31262,31701,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669,32649
Guinea,GIN,"Population, total",SP.POP.TOTL,3516814,3578631,3642324,3707945,3775510,3845074,3916780,3990760,4067333,4145194,4222374,4298087,4372212,4445207,4517073,4588006,4658743,4730375,4804926,4885199,4972609,5067427,5170731,5282274,5402084,5531661,5671380,5820774,5977175,6136166,6354145,6615734,6832195,7046097,7262112,7468347,7683115,7842806,7992545,8174897,8336967,8445717,8577790,8772254,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,399649,410801,422310,434173,446375,458908,471753,485132,499151,513686,528731,544317,560553,577488,594904,612909,631894,651934,672974,695155,718586,742846,768272,795563,824798,855958,888980,923914,960837,999732,1040616,1083536,1127152,1168309,1205882,1242155,1279070,1317002,1356189,1396499,1437539,1479449,1522223,1566257,1612225,1660368,1711294,1764883,1820542,1878119,1937275,1998212,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,577933,583107,590399,595802,590481,577638,570375,573380,583475,587880,591663,594501,595950,603203,623576,659635,701016,746588,794328,821598,831462,844957,858630,872394,886210,900088,914122,928408,943080,958239,973551,993856,1022904,1056761,1089617,1117222,1140604,1162443,1184071,1206474,1230849,1257380,1285678,1315653,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,267351,272264,277490,283018,288852,295010,301517,308374,315325,318846,316955,311952,305362,298050,290558,283262,276000,271377,270866,273925,282509,296950,315741,336744,357995,378379,397276,414769,431587,448420,465549,483142,501334,520236,539992,560740,582573,605570,629734,655029,684977,719270,754115,789681,826355,864726,905418,948814,994971,1043686,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908
Greece,GRC,"Population, total",SP.POP.TOTL,8331725,8398050,8448233,8479625,8510429,8550333,8613651,8684088,8740765,8772764,8792806,8831036,8888628,8929086,8962022,9046541,9188150,9308479,9429959,9548258,9642505,9729350,9789513,9846627,9895801,9934300,9967213,10000595,10036983,10089498,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919
Grenada,GRD,"Population, total",SP.POP.TOTL,93772,95096,96052,96882,97613,98226,98692,98977,99056,98975,98794,98535,98225,97886,97528,97165,96781,96329,95811,95242,94838,95222,96534,98177,99618,100576,100893,100599,99877,99224,99047,99758,101040,102173,103174,104060,104846,105549,106200,106823,107432,107936,108231,108740,109516,110254,110988,111725,112478,113249,114039,114918,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610,125438
Greenland,GRL,"Population, total",SP.POP.TOTL,32500,33700,35000,36400,37600,39200,40500,41900,43400,44900,46400,47200,48300,49000,49500,49600,49700,49400,49200,49600,50200,51000,51500,52100,52700,53200,53500,54100,54800,55300,55600,55500,55300,55200,55500,55800,55900,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661
Guatemala,GTM,"Population, total",SP.POP.TOTL,4128880,4251911,4378604,4508444,4640795,4774984,4910790,5047435,5184095,5320100,5455197,5589563,5723759,5858466,5994300,6131151,6269983,6412667,6561919,6720582,6890346,7071186,7262658,7462585,7669863,7884034,8104921,8332446,8566331,8805995,9050115,9296814,9544055,9790619,10037522,10286786,10536942,10788362,11046215,11311078,11589761,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886
Guam,GUM,"Population, total",SP.POP.TOTL,72374,73873,75412,76996,78621,80255,81879,83480,85046,86534,88300,90505,92815,95100,97329,99478,101590,103676,105710,107790,110286,113221,116189,119067,121885,124675,127462,130259,133079,135759,138263,140739,143173,145541,147843,150094,152261,154330,156357,158395,160188,161524,162563,163385,164004,164430,164675,164763,164725,164580,164905,165649,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534,171774
Guyana,GUY,"Population, total",SP.POP.TOTL,571990,588597,604833,620703,635957,650207,663241,675064,685887,695919,705261,713904,721994,729865,737701,745590,753553,761378,768609,774482,778176,779686,779639,778372,776007,772671,768508,763706,758450,752897,747116,744096,744998,747189,749546,751689,753571,755211,756697,758014,759051,759809,760323,760562,760424,759709,758367,756521,754150,751258,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567,808726
High income,HIC,"Population, total",SP.POP.TOTL,780138593,789918790,799922883,809831666,819716063,829301955,838420656,847172799,855824550,864581951,873281935,883628458,892701235,901467097,910065838,918459692,926268687,933977783,941758606,949816222,957608950,965344988,972633145,979407389,985784657,992224395,998874393,1005670379,1012656998,1020150995,1027500717,1035875187,1044477102,1052626906,1060148248,1067301466,1074550287,1081668120,1088601219,1095437130,1102139639,1108870086,1115681856,1122515138,1129571825,1136981371,1145510251,1154791752,1164409232,1173066945,1180459116,1185474102,1192042103,1198818424,1205686277,1212444178,1219354936,1225544265,1231508785,1236709936,1241718902,1241268556,1244364814
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,3114671,3168100,3305200,3420900,3504600,3597900,3629900,3722800,3802700,3863900,3959000,4045300,4123600,4241600,4377800,4461600,4518000,4583700,4667500,4929700,5063100,5183400,5264500,5345100,5397900,5456200,5524600,5580500,5627600,5686200,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100
Honduras,HND,"Population, total",SP.POP.TOTL,2078617,2139928,2202854,2267708,2334492,2403465,2474523,2547497,2622982,2701381,2782753,2867501,2956021,3046715,3136539,3231631,3334814,3441122,3550368,3662736,3777990,3895736,4015647,4137784,4261919,4387693,4515568,4645733,4778114,4913676,5053234,5196887,5344774,5496841,5652934,5812832,5976550,6144112,6308537,6477365,6656725,6837861,7019908,7201881,7383407,7564613,7745200,7924462,8101777,8277302,8450933,8622504,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,163453961,167427839,171555341,175832578,180294830,184949176,189744990,194742549,199980949,205388448,210973069,216706865,222495959,228507880,234861273,241415576,248105304,254798463,262035002,269571043,276049311,282020641,289043160,296920640,305097813,313452117,321846502,330566338,339527267,348860257,358121820,367531126,378502714,390576688,402287229,413913354,425839678,437721228,449883034,462533086,475127894,488040621,502494432,517663749,532571131,547936900,563930944,579864063,596301357,613535903,630953183,648927117,667520863,686620331,706617213,727129254,748356635,770390212,792615894,815100831,838066650,861156745,884288332
Croatia,HRV,"Population, total",SP.POP.TOTL,4140181,4167292,4196712,4225675,4252876,4280923,4310701,4338683,4365628,4391490,4412252,4431275,4450564,4470161,4490660,4512082,4535934,4559571,4581085,4594778,4599782,4611509,4634234,4658254,4680285,4701417,4721446,4739745,4755207,4767260,4777368,4689022,4575818,4600463,4652024,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3855600
Haiti,HTI,"Population, total",SP.POP.TOTL,3901139,3974934,4049504,4122260,4196349,4274348,4352949,4432716,4514006,4596642,4680812,4766423,4853117,4940710,5030652,5124560,5222342,5323827,5428667,5536423,5646676,5760197,5877684,5997739,6119932,6245539,6375097,6508349,6644959,6784161,6925331,7066055,7205780,7345940,7486091,7627316,7770593,7915172,8060896,8208941,8360225,8511728,8661546,8812245,8961489,9111900,9266288,9420826,9575247,9730638,9842880,9954312,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996
Hungary,HUN,"Population, total",SP.POP.TOTL,9983967,10029321,10061734,10087947,10119835,10147935,10178653,10216604,10255815,10298723,10337910,10367537,10398489,10432055,10478720,10540525,10598677,10648031,10684822,10704152,10711122,10711848,10705535,10689463,10668095,10648713,10630564,10612741,10596487,10481719,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048
Indonesia,IDN,"Population, total",SP.POP.TOTL,88382881,90816938,93345489,95962527,98675061,101157868,103561105,106260749,109138723,112149246,115228394,118347135,121504145,124709058,127945196,131213215,134521025,137861540,141250964,144693087,148177096,151686337,155228658,158790611,162331962,165791694,169135273,172421390,175694647,178949174,182159874,185361228,188558416,191737287,194928533,198140162,201373791,204628007,207855486,210996910,214072421,217112437,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339
IDA only,IDX,"Population, total",SP.POP.TOTL,273244840,280120877,287265174,294632894,302286207,310230648,318386686,326857777,335669699,344654926,353539882,361723391,370219688,379779614,389663013,399483696,409173986,419152337,430022867,441440230,451982661,462246693,473936564,486705751,499790540,512976248,526144768,539531809,552965450,566800425,580839235,594934070,610501924,627217382,643572966,659768176,676066268,692329687,708735506,725601226,742632467,760135841,779234829,798891420,818159682,837717855,857875888,878188505,898199432,918527916,939730969,961612140,983589911,1005080882,1026805224,1049402114,1073442780,1098416162,1123983941,1150416080,1177588680,1205099007,1232406982
Isle of Man,IMN,"Population, total",SP.POP.TOTL,48793,48422,48669,49131,49597,50057,50718,51731,52910,54099,55298,56431,57419,58325,59179,59949,60701,61506,62333,63172,64022,64558,64654,64598,64500,64376,64663,65554,66636,67740,68865,69770,70307,70710,71094,71454,71981,72793,73727,74668,75562,76398,77183,77939,78677,79415,80228,81100,81997,82915,83828,84350,84338,84144,83896,83593,83450,83580,83775,83933,84046,84263,84519
India,IND,"Population, total",SP.POP.TOTL,445954579,456351876,467024193,477933619,489059309,500114346,510992617,521987069,533431909,545314670,557501301,569999178,582837973,596107483,609721951,623524219,637451448,651685628,666267760,681248383,696828385,712869298,729169466,745826546,762895156,780242084,797878993,815716125,833729681,852012673,870452165,888941756,907574049,926351297,945261958,964279129,983281218,1002335230,1021434576,1040500054,1059633675,1078970907,1098313039,1117415123,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173
Not classified,INX,"Population, total",SP.POP.TOTL,2828600,2824400,2836050,2852650,2866550,2877300,2888800,2902450,2915550,2932650,2957250,2992050,3036850,3085950,3137500,3189550,3238050,3282200,3329100,3373750,3412800,3453000,3485800,3510600,3532423,3538082,3539690,3540057,3524949,3511009,3513974,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5127170
Ireland,IRL,"Population, total",SP.POP.TOTL,21388806,21983622,22605050,23259094,23948624,24667026,25398700,26133341,26875302,27643685,28449705,29273682,30111574,30981898,31895534,32856976,33841060,34876497,35993661,37205013,38520664,40476251,42500030,44027986,45628402,47266160,48913237,50541490,52111868,53644736,55793629,57990883,59372016,59755430,59985749,60794809,61598378,62480533,63461421,64474745,65544383,66674851,67327117,67954699,69061674,70182594,71275760,72319418,73318394,74322685,75373855,76342971,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,7084678,7260714,7481832,7735824,7997655,8270544,8553883,8848502,9156132,9476737,9811347,10154928,10507315,10872139,11243146,11617622,11999342,12400190,12819707,13233830,13653369,14067260,14467682,14903737,15377032,15753856,16148221,16598019,16987346,17442590,17658381,17846378,18385673,19295818,20248073,20948858,21639332,22330770,23053488,23820734,24628858,25425663,26255343,27068823,27858948,28698684,28905607,28660887,29218381,30289040,31264875,32378061,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122
